,prec_no,県,No,i,地点名,block_no,緯度（度、分),緯度（度、分)2,経度（度、分),経度（度、分)2,標高(m)
238,35,山形,486,19,"""蔵王山""",276,38,9.4,140,26.0,1660.0
239,35,山形,487,20,"""小国""",277,38,4.7,139,44.1,140.0
240,35,山形,488,21,"""高峰""",278,37,59.9,139,57.4,250.0
241,35,山形,489,22,"""米沢""",279,37,54.7,140,8.6,245.0
242,35,山形,490,23,"""西吾妻山""",280,37,46.0,140,8.3,1530.0
243,35,山形,491,24,"""向町""",910,38,45.5,140,31.0,212.0
244,35,山形,492,25,"""上草津""",1038,38,59.7,140,1.7,178.0
245,35,山形,493,26,"""尾花沢""",1039,38,36.5,140,24.7,106.0
246,35,山形,494,27,"""鼠ケ関""",1040,38,34.0,139,33.1,18.0
247,35,山形,495,28,"""山毛欅潰山""",1103,37,54.7,139,48.9,890.0
248,35,山形,496,29,"""肘折""",1125,38,36.4,140,9.8,330.0
249,35,山形,497,30,"""高畠""",1132,38,0.2,140,12.4,220.0
250,35,山形,498,31,"""落合""",1169,38,36.3,139,50.1,99.0
251,35,山形,499,32,"""飛島""",1291,39,11.0,139,32.6,58.0
252,35,山形,500,33,"""大井沢""",1292,38,23.4,139,59.6,440.0
253,35,山形,501,34,"""荒沢""",1357,38,30.4,139,46.9,273.0
254,35,山形,502,35,"""中津川""",1372,37,54.6,139,50.6,390.0
255,35,山形,503,36,"""白鷹山""",1428,38,13.3,140,11.1,860.0
256,35,山形,504,37,"""浜中""",1465,38,48.7,139,47.2,22.0
257,35,山形,505,38,"""東根""",1488,38,24.7,140,22.2,105.0
258,35,山形,506,39,"""村山""",1539,38,27.6,140,20.9,80.0
259,35,山形,507,40,"""上山中山""",1562,38,7.0,140,12.8,270.0
260,36,福島,508,1,"""浪江""",295,37,29.5,140,57.9,47.0
261,36,福島,509,2,"""小野新町""",304,37,17.2,140,37.5,433.0
262,36,福島,510,3,"""広野""",1034,37,14.0,141,0.0,43.0
263,36,福島,511,4,"""川内""",1129,37,20.2,140,48.5,410.0
264,36,福島,512,5,"""相馬""",285,37,47.0,140,55.5,9.0
265,36,福島,513,6,"""郡山""",299,37,22.1,140,19.8,249.0
266,36,福島,514,7,"""梁川""",281,37,51.1,140,35.3,43.0
267,36,福島,515,8,"""稲荷峠""",282,37,45.4,139,44.1,800.0
268,36,福島,516,9,"""吾妻山""",283,37,43.3,140,16.5,1300.0
269,36,福島,517,10,"""福島""",47595,37,45.5,140,28.2,67.4
270,36,福島,518,11,"""喜多方""",286,37,39.5,139,51.8,212.0
271,36,福島,519,12,"""八木沢""",287,37,41.8,140,49.2,540.0
272,36,福島,520,13,"""原町""",288,37,38.3,140,59.0,17.0
273,36,福島,521,14,"""飯谷山""",289,37,31.6,139,41.0,720.0
274,36,福島,522,15,"""猪苗代""",290,37,33.1,140,6.5,519.0
275,36,福島,523,16,"""二本松""",291,37,35.0,140,25.8,235.0
276,36,福島,524,17,"""白馬石山""",292,37,34.8,140,43.5,640.0
277,36,福島,525,18,"""若松""",47570,37,29.3,139,54.6,211.7
278,36,福島,526,19,"""船引""",294,37,26.1,140,34.6,421.0
279,36,福島,527,20,"""浅草岳""",296,37,20.6,139,14.2,1520.0
280,36,福島,528,21,"""只見""",297,37,20.6,139,18.8,377.0
281,36,福島,529,22,"""博士峠""",298,37,20.4,139,43.4,1233.0
282,36,福島,530,23,"""富岡""",300,37,20.8,141,1.0,50.0
283,36,福島,531,24,"""南郷""",301,37,15.9,139,32.2,494.0
284,36,福島,532,25,"""駒止峠""",302,37,12.6,139,36.8,1145.0
285,36,福島,533,26,"""田島""",303,37,12.4,139,47.7,544.0
